Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
50 /escm/css/modern_ui/images/myCatalog.png,22,50,32,101,119,245,6,245,0.00%,.9,2.8
55 /escm/css/modern_ui/images/dropDown.png,22,55,23,171,194,217,7,217,0.00%,.9,5.0
56 /escm/images/_loading.gif,22,128,20,430,523,1171,7,1171,0.00%,.9,3.8
54 /escm/css/modern_ui/images/CP_login.png,22,49,15,118,143,307,4,307,0.00%,.9,5.5
57 /escm/images/bubble.png,22,25,14,42,94,102,7,102,0.00%,.9,3.3
58 /escm/css/theme/images/ui-icons_ededed_256x240.png,22,36,18,102,112,158,6,158,0.00%,.9,4.0
59 /escm/css/theme/images/ui-icons_ffffff_256x240.png,22,42,17,114,137,232,6,232,0.00%,.9,4.0
Login Page Credentials and Dashboard Display,22,21739,23124,24459,26993,27918,2731,27918,9.09%,.5,158.5
77 /escm/order/index,22,7014,6623,9570,9594,9939,1869,9939,0.00%,.7,12.2
79 /escm/images/icon14.gif,22,24,13,57,63,87,3,87,0.00%,.8,.5
81 /escm/images/recent.png,22,20,10,44,48,105,4,105,0.00%,.8,1.6
83 /escm/images/hourglass.png,22,19,14,50,57,66,3,66,0.00%,.8,1.8
80 /escm/images/loading.gif,22,25,10,32,121,162,3,162,0.00%,.8,.8
87 /escm/images/ticket/order_ticket.png,22,13,8,32,34,71,4,71,0.00%,.8,3.2
84 /escm/images/express_order.png,22,15,10,30,32,34,4,34,0.00%,.8,1.1
85 /escm/images/cancelicon.png,22,20,9,41,51,125,4,125,0.00%,.8,1.3
82 /escm/images/orderstatusicon/provisioningfailed.png,22,31,11,105,147,164,4,164,0.00%,.8,1.2
86 /escm/images/bb_ajax_loader.gif,22,13,8,27,36,54,4,54,0.00%,.8,2.5
89 /escm/images/previous.png,22,38,11,39,49,520,4,520,0.00%,.8,13.3
90 /escm/images/next.png,22,20,7,52,86,117,3,117,0.00%,.8,13.3
91 /escm/images/view_mail.png,22,13,10,28,30,30,4,30,0.00%,.8,15.7
92 /escm/css/theme/images/ui-icons_blue_256x240.png,22,16,6,28,51,133,3,133,0.00%,.8,3.9
88 /escm/order/showOrderDetail,22,4331,3744,6469,6657,6740,2254,6740,9.09%,.7,13.8
94 /escm/images/warn.png,22,30,20,73,80,94,5,94,0.00%,.8,1.2
93 /escm/images/summary_edit_pencil.png,22,22,12,46,47,87,5,87,0.00%,.8,7.6
95 /escm/images/order-icon-email.png,22,29,15,62,86,112,4,112,0.00%,.8,3.8
96 /escm/images/slider-arrow-left.png,22,29,14,53,129,157,5,157,0.00%,.8,1.1
97 /escm/images/slider-arrow-right.png,22,15,10,31,37,51,4,51,0.00%,.8,1.1
98 /escm/messages,22,127,25,145,953,1194,13,1194,9.09%,.8,.5
99 /escm/recentItem,22,69,54,175,180,202,11,202,9.09%,.9,.4
103 /escm/images/order-icon-provisioned.png,22,23,15,49,58,71,4,71,0.00%,.9,4.2
100 /escm/images/order-icon-adjust.png,22,15,9,34,37,41,3,41,0.00%,.9,4.2
101 /escm/images/order-icon-custom-fields.png,22,28,13,65,76,129,4,129,0.00%,.9,3.1
106 /escm/images/order-icon-ticket.png,22,21,15,32,40,123,4,123,0.00%,.9,3.7
102 /escm/images/order-icon-subscription.png,22,31,15,57,111,130,4,130,0.00%,.9,5.0
105 /escm/images/order-icon-quote.png,22,30,10,43,116,282,4,282,0.00%,.9,3.2
104 /escm/images/order-icon-installment.png,22,33,19,73,94,130,3,130,0.00%,.9,5.4
Order Selection,22,12127,12698,13995,14272,14707,7127,14707,9.09%,.6,104.9
107 /escm/css/theme/images/ui-icons_222222_256x240.png,22,46,28,155,174,235,4,235,0.00%,.9,4.0
108 /escm/images/BB-ajax-loader-round.gif,22,20,17,40,41,55,4,55,0.00%,.9,7.4
109 /escm/order/searchOrder,22,1230,1223,1960,2051,2094,202,2094,9.09%,.8,2.9
111 /escm/messages,22,48,30,101,142,181,10,181,9.09%,.8,.5
112 /escm/recentItem,22,47,16,87,199,251,9,251,9.09%,.8,.4
110 /escm/order/showOrderDetail,22,7198,7841,9770,9986,10559,110,10559,9.09%,.6,12.6
114 /escm/images/icon20.gif,22,18,6,49,54,104,3,104,0.00%,.6,1.1
115 /escm/images/help.png,22,8,5,21,23,26,3,26,0.00%,.6,4.2
113 /escm/images/trash.png,22,11,4,32,38,46,3,46,0.00%,.6,5.8
117 /escm/messages,22,39,13,94,129,286,10,286,9.09%,.6,.4
116 /escm/css/theme/images/ui-icons_bbbbbb_256x240.png,22,8,5,18,23,36,3,36,0.00%,.6,3.4
118 /escm/recentItem,22,29,13,36,96,237,9,237,9.09%,.6,.3
120 /escm/images/order-icon-usage.png,22,10,5,18,45,50,3,50,0.00%,.6,2.8
119 /escm/images/order-icon-stop-billing.png,22,12,6,19,38,99,3,99,0.00%,.6,2.8
Order_Search,22,8730,9543,11328,11378,11400,951,11400,9.09%,.6,43.4
TOTAL,2508,755,19,242,5259,20514,1,27918,2.79%,35.9,654.7
