Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
50 /escm/css/modern_ui/images/myCatalog.png,5,12,7,21,23,23,5,23,0.00%,122.0,392.8
55 /escm/css/modern_ui/images/dropDown.png,5,10,6,15,19,19,5,19,0.00%,104.2,599.7
56 /escm/images/_loading.gif,5,19,23,25,25,25,10,25,0.00%,131.6,574.9
54 /escm/css/modern_ui/images/CP_login.png,5,7,7,8,12,12,4,12,0.00%,250.0,1578.4
57 /escm/images/bubble.png,5,24,24,26,29,29,20,29,0.00%,138.9,518.0
58 /escm/css/theme/images/ui-icons_ededed_256x240.png,5,6,6,7,8,8,5,8,0.00%,277.8,1266.0
59 /escm/css/theme/images/ui-icons_ffffff_256x240.png,5,8,9,10,11,11,7,11,0.00%,294.1,1340.5
Login Page Credentials and Dashboard Display,5,10604,10949,11779,11802,11802,8537,11802,0.00%,.4,135.3
77 /escm/order/index,5,4837,4870,5531,5642,5642,3913,5642,0.00%,.9,16.6
79 /escm/images/icon14.gif,5,36,14,29,127,127,5,127,0.00%,2.9,1.7
81 /escm/images/recent.png,5,23,18,30,55,55,7,55,0.00%,3.1,6.2
83 /escm/images/hourglass.png,5,31,8,8,127,127,6,127,0.00%,3.2,7.2
80 /escm/images/loading.gif,5,12,7,14,29,29,5,29,0.00%,3.5,3.5
87 /escm/images/ticket/order_ticket.png,5,9,9,12,13,13,6,13,0.00%,3.6,14.3
84 /escm/images/express_order.png,5,12,10,12,23,23,7,23,0.00%,3.6,4.8
85 /escm/images/cancelicon.png,5,197,13,476,479,479,8,479,0.00%,3.6,5.9
82 /escm/images/orderstatusicon/provisioningfailed.png,5,17,10,31,33,33,7,33,0.00%,5.4,8.2
86 /escm/images/bb_ajax_loader.gif,5,20,21,32,35,35,6,35,0.00%,5.5,17.2
89 /escm/images/previous.png,5,18,18,27,28,28,7,28,0.00%,5.7,93.4
90 /escm/images/next.png,5,15,14,23,27,27,6,27,0.00%,5.8,95.4
91 /escm/images/view_mail.png,5,14,11,22,28,28,6,28,0.00%,5.9,114.3
92 /escm/css/theme/images/ui-icons_blue_256x240.png,5,6,7,7,7,7,5,7,0.00%,6.1,28.7
88 /escm/order/showOrderDetail,5,4198,4434,4491,4501,4501,3779,4501,0.00%,1.1,21.8
94 /escm/images/warn.png,5,13,13,16,22,22,8,22,0.00%,38.8,57.8
93 /escm/images/summary_edit_pencil.png,5,26,32,32,43,43,8,43,0.00%,43.5,398.0
95 /escm/images/order-icon-email.png,5,25,33,38,38,38,5,38,0.00%,56.2,254.6
96 /escm/images/slider-arrow-left.png,5,27,29,33,33,33,14,33,0.00%,75.8,99.4
97 /escm/images/slider-arrow-right.png,5,28,34,36,37,37,10,37,0.00%,96.2,127.0
98 /escm/messages,5,59,59,60,82,82,45,82,0.00%,47.6,21.4
99 /escm/recentItem,5,61,66,67,74,74,33,74,0.00%,64.1,21.3
103 /escm/images/order-icon-provisioned.png,5,31,30,30,45,45,25,45,0.00%,102.0,489.1
100 /escm/images/order-icon-adjust.png,5,38,35,40,64,64,19,64,0.00%,71.4,342.9
101 /escm/images/order-icon-custom-fields.png,5,27,32,33,34,34,7,34,0.00%,119.0,429.7
106 /escm/images/order-icon-ticket.png,5,27,27,28,30,30,26,30,0.00%,138.9,584.6
102 /escm/images/order-icon-subscription.png,5,30,30,30,37,37,26,37,0.00%,119.0,682.4
105 /escm/images/order-icon-quote.png,5,31,26,28,60,60,21,60,0.00%,76.9,283.4
104 /escm/images/order-icon-installment.png,5,29,28,31,49,49,9,49,0.00%,102.0,630.0
Order Selection,5,9906,9901,9914,9920,9920,9895,9920,0.00%,.5,83.0
107 /escm/css/theme/images/ui-icons_222222_256x240.png,5,15,8,26,27,27,7,27,0.00%,119.0,542.6
108 /escm/images/BB-ajax-loader-round.gif,5,18,22,26,28,28,6,28,0.00%,116.3,969.3
109 /escm/order/searchOrder,5,960,1109,1194,1273,1273,603,1273,0.00%,3.9,14.3
111 /escm/messages,5,47,23,61,120,120,16,120,0.00%,6.8,3.1
112 /escm/recentItem,5,29,25,32,66,66,12,66,0.00%,6.8,2.3
110 /escm/order/showOrderDetail,5,3124,3185,3372,3685,3685,2331,3685,0.00%,1.1,25.0
114 /escm/images/icon20.gif,5,19,13,35,36,36,5,36,0.00%,3.8,6.5
115 /escm/images/help.png,5,15,13,28,28,28,4,28,0.00%,3.9,26.7
113 /escm/images/trash.png,5,16,13,29,29,29,5,29,0.00%,4.0,37.5
117 /escm/messages,5,27,16,19,74,74,14,74,0.00%,4.1,1.8
116 /escm/css/theme/images/ui-icons_bbbbbb_256x240.png,5,17,5,8,65,65,4,65,0.00%,4.1,22.7
118 /escm/recentItem,5,16,14,22,22,22,11,22,0.00%,4.3,1.4
120 /escm/images/order-icon-usage.png,5,15,8,26,34,34,4,34,0.00%,4.3,19.0
119 /escm/images/order-icon-stop-billing.png,5,12,5,24,24,24,4,24,0.00%,4.4,19.5
Order_Search,5,4335,4153,4552,5037,5037,3962,5037,0.00%,1.0,71.5
TOTAL,570,450,24,172,3779,9920,2,11802,1.75%,19.7,361.9
