Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
62 /escm/login/auth,20,354,237,799,840,971,94,971,0.00%,1.1,5.4
67 /escm/css/jquery.alerts.css,20,34,10,37,82,379,5,379,0.00%,1.1,1.3
63 /escm/css/theme/jquery-ui-1.8.17.custom.css,20,28,18,34,43,182,7,182,0.00%,1.1,7.1
68 /escmnull/css/merchant.css,20,11,7,14,38,66,1,66,100.00%,1.1,.1
72 /escm/js/validator.js,20,34,14,74,75,292,6,292,0.00%,1.1,5.6
71 /escm/js/jquery.alerts.js,20,28,11,47,52,257,4,257,0.00%,1.1,2.8
70 /escm/js/jquery-ui-1.8.17.custom.min.js,20,97,73,128,260,376,33,376,0.00%,1.1,56.7
73 /escm/js/jquery.bpopup.min.js,20,23,13,40,77,136,5,136,0.00%,1.1,2.4
66 /escm/css/jquery.ui.timepicker.css,20,19,11,37,46,82,4,82,0.00%,1.1,2.2
69 /escm/js/jquery-1.5.2.min.js,20,92,100,117,169,171,40,171,0.00%,1.1,69.3
64 /escm/css/merchant.css,20,150,114,214,236,631,41,631,0.00%,1.1,68.4
65 /escm/css/logintypedialog.css,20,18,13,36,46,64,6,64,0.00%,1.1,1.4
74 /escm/css/fonts/Roboto-Light.woff,20,15,8,43,48,48,4,48,0.00%,1.1,79.1
75 /escm/css/fonts/Roboto-Bold.woff,20,29,10,59,85,194,4,194,0.00%,1.1,76.8
76 /escm/css/fonts/Roboto-Regular.ttf,20,22,12,48,51,141,6,141,0.00%,1.1,156.0
Login Page Request,20,960,819,1597,1825,1850,419,1850,100.00%,1.0,487.7
5 /escm/login/doAuth?id=loginform,20,4979,3791,8756,9859,9861,2453,9861,0.00%,1.0,9.2
10 /escm/css/modern_ui/usageGraph/examples.css,20,39,15,91,92,312,3,312,0.00%,1.8,2.8
11 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,20,21,14,51,51,95,3,95,0.00%,1.8,3.3
14 /escm/css/modern_ui/jquery.multiselect.css,20,23,15,41,65,74,4,74,0.00%,1.8,3.9
15 /escm/js/jquery.qtip-1.0.0-rc3.min.js,20,25,19,34,72,121,6,121,0.00%,1.8,17.7
23 /escm/js/jquery-validate/jquery.metadata.js,20,31,12,61,135,167,4,167,0.00%,1.8,3.4
9 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,20,23,12,70,82,92,3,92,0.00%,1.8,2.3
22 /escm/js/slideBlock.js,20,37,15,54,170,270,3,270,0.00%,1.8,2.1
21 /escm/js/clearinput.js,20,23,17,41,45,94,5,94,0.00%,1.8,2.1
13 /escm/css/tablesorter.css,20,16,15,25,27,34,3,34,0.00%,1.8,4.1
24 /escm/js/datatable.js,20,37,18,119,124,134,4,134,0.00%,1.8,2.8
38 /escm/js/jquery.leanModal.min.js,20,16,15,33,34,45,3,45,0.00%,1.8,2.4
40 /escm/js/escm_alert.js,20,17,14,34,41,49,4,49,0.00%,1.8,3.8
25 /escm/js/jquery.ba-dotimeout.min.js,20,23,16,58,64,67,3,67,0.00%,1.8,2.4
18 /escm/js/main.js,20,35,17,82,108,174,4,174,0.00%,1.8,5.2
19 /escm/js/jquery-validate/additional-methods.min.js,20,27,15,51,66,181,6,181,0.00%,1.8,4.9
46 /escm/js/payment/jquery.tzCheckbox.js,20,17,15,26,37,37,3,37,0.00%,1.8,2.9
12 /escm/css/payment/jquery.tzCheckbox.css,20,17,14,30,32,79,3,79,0.00%,1.8,2.0
31 /escm/js/usageGraphJS/jqplot.canvasTextRenderer.min.js,20,48,13,63,242,359,4,359,0.00%,1.8,7.3
41 /escm/js/jquery.flexslider.js,20,22,20,32,56,64,8,64,0.00%,1.8,21.6
33 /escm/js/usageGraphJS/excanvas.min.js,20,21,12,53,78,101,5,101,0.00%,1.8,14.4
42 /escm/js/usageGraphJS/jqplot.pointLabels.min.js,20,27,16,69,76,91,3,91,0.00%,1.8,3.5
37 /escm/js/jquery.slimscroll.min.js,20,18,9,37,42,57,4,57,0.00%,1.8,3.8
30 /escm/js/usageGraphJS/jqplot.canvasAxisLabelRenderer.min.js,20,12,10,22,26,32,3,32,0.00%,1.8,2.3
34 /escm/js/placeholders.min.js,20,31,15,64,89,223,4,223,0.00%,1.8,3.4
26 /escm/js/usageGraphJS/jqplot.canvasAxisTickRenderer.min.js,20,27,14,72,86,101,3,101,0.00%,1.8,2.6
47 /escm/js/panels.js,20,33,11,81,86,153,3,153,0.00%,1.8,3.9
35 /escm/js/jquery.elastic.source.js,20,37,14,47,167,265,3,265,0.00%,1.8,4.1
44 /escm/js/jquery.scrollToTop.min.js,20,19,12,34,44,92,3,92,0.00%,1.8,1.3
17 /escm/js/jquery.tablesorter.js,20,63,40,134,167,276,7,276,0.00%,1.8,15.4
27 /escm/js/usageGraphJS/jqplot.enhancedLegendRenderer.min.js,20,31,13,107,109,143,3,143,0.00%,1.8,3.6
20 /escm/js/jquery-validate/jquery.validate.min.js,20,26,17,66,81,86,5,86,0.00%,1.8,12.0
32 /escm/js/usageGraphJS/jquery.jqplot.min.js,20,97,73,191,247,331,21,331,0.00%,1.8,75.9
39 /escm/js/jquery.ui.timepicker.js,20,54,20,86,183,416,9,416,0.00%,1.8,25.2
16 /escm/js/jquery.blockUI.js,20,28,20,38,49,193,8,193,0.00%,1.8,10.9
28 /escm/js/usageGraphJS/jqplot.highlighter.min.js,20,26,11,78,97,126,4,126,0.00%,1.8,4.5
36 /escm/js/MonthPicker.min.js,20,44,24,93,189,244,6,244,0.00%,1.8,7.2
29 /escm/js/usageGraphJS/jqplot.dateAxisRenderer.min.js,20,28,16,71,85,98,4,98,0.00%,1.8,5.6
43 /escm/js/usageGraphJS/jqplot.cursor.min.js,20,32,16,109,112,129,4,129,0.00%,1.8,10.1
49 /escm/images/myAccount.png,20,21,14,42,55,88,3,88,0.00%,1.8,12.0
48 /escm/css/modern_ui/images/myDashboard.png,20,40,17,85,186,247,3,247,0.00%,1.8,5.7
45 /escm/js/payment/jquery.dataTables.js,20,179,116,359,416,429,51,429,0.00%,1.8,156.2
52 /escm/images/ticket/39x39ticket.png,20,55,12,175,203,210,5,210,0.00%,1.8,4.8
53 /escm/images/settings.png,20,23,17,44,76,95,4,95,0.00%,1.8,10.8
51 /escm/images/orders.png,20,30,15,51,51,222,3,222,0.00%,1.8,4.8
50 /escm/css/modern_ui/images/myCatalog.png,20,52,25,104,161,391,4,391,0.00%,1.8,5.7
55 /escm/css/modern_ui/images/dropDown.png,20,20,11,32,39,82,4,82,0.00%,1.8,10.1
56 /escm/images/_loading.gif,20,50,25,77,100,385,2,385,0.00%,1.8,7.7
54 /escm/css/modern_ui/images/CP_login.png,20,42,16,156,160,207,3,207,0.00%,1.7,11.0
57 /escm/images/bubble.png,20,55,30,131,168,248,4,248,0.00%,1.7,6.5
58 /escm/css/theme/images/ui-icons_ededed_256x240.png,20,32,8,103,115,158,3,158,0.00%,1.8,8.1
59 /escm/css/theme/images/ui-icons_ffffff_256x240.png,20,24,10,56,59,73,3,73,0.00%,1.8,8.1
Login Page Credentials and Dashboard Display,20,6780,5703,10823,11770,11909,3961,11909,0.00%,.9,282.4
77 /escm/order/index,20,5486,5070,7409,7619,8447,2655,8447,0.00%,1.3,24.7
79 /escm/images/icon14.gif,20,24,9,36,43,261,2,261,0.00%,2.4,1.3
81 /escm/images/recent.png,20,16,8,45,52,66,2,66,0.00%,2.4,4.7
83 /escm/images/hourglass.png,20,16,9,39,47,48,2,48,0.00%,2.4,5.3
80 /escm/images/loading.gif,20,16,7,41,55,57,2,57,0.00%,2.4,2.4
87 /escm/images/ticket/order_ticket.png,20,16,8,44,46,97,3,97,0.00%,2.4,9.7
84 /escm/images/express_order.png,20,19,6,48,53,100,3,100,0.00%,2.4,3.2
85 /escm/images/cancelicon.png,20,12,5,32,38,73,2,73,0.00%,2.4,4.0
82 /escm/images/orderstatusicon/provisioningfailed.png,20,15,9,22,34,93,3,93,0.00%,2.4,3.7
86 /escm/images/bb_ajax_loader.gif,20,8,7,14,14,20,3,20,0.00%,1.3,4.2
89 /escm/images/previous.png,20,8,6,16,21,27,2,27,0.00%,2.4,40.1
90 /escm/images/next.png,20,17,5,66,75,76,2,76,0.00%,2.4,40.0
91 /escm/images/view_mail.png,20,11,8,31,35,36,3,36,0.00%,2.4,47.1
92 /escm/css/theme/images/ui-icons_blue_256x240.png,20,14,6,29,29,69,2,69,0.00%,2.5,11.6
88 /escm/order/showOrderDetail,20,4285,4493,5954,6133,6347,1481,6347,0.00%,2.1,41.8
94 /escm/images/warn.png,20,41,8,96,112,364,5,364,0.00%,5.1,7.6
93 /escm/images/summary_edit_pencil.png,20,27,16,50,61,160,5,160,0.00%,5.1,46.5
95 /escm/images/order-icon-email.png,20,26,13,41,75,105,4,105,0.00%,5.1,23.3
96 /escm/images/slider-arrow-left.png,20,29,17,76,103,124,3,124,0.00%,5.2,6.8
97 /escm/images/slider-arrow-right.png,20,16,11,28,44,64,4,64,0.00%,5.3,7.0
98 /escm/messages,20,455,149,1038,1074,1096,14,1096,0.00%,5.1,2.3
99 /escm/recentItem,20,309,290,498,871,911,13,911,0.00%,5.5,1.8
103 /escm/images/order-icon-provisioned.png,20,28,12,62,72,172,5,172,0.00%,5.8,27.7
100 /escm/images/order-icon-adjust.png,20,37,17,81,102,129,4,129,0.00%,6.2,29.6
101 /escm/images/order-icon-custom-fields.png,20,27,17,60,65,70,6,70,0.00%,6.2,22.4
106 /escm/images/order-icon-ticket.png,20,24,8,45,47,195,4,195,0.00%,6.3,26.4
102 /escm/images/order-icon-subscription.png,20,33,12,53,119,233,4,233,0.00%,6.2,35.8
105 /escm/images/order-icon-quote.png,20,33,12,63,104,196,5,196,0.00%,6.3,23.1
104 /escm/images/order-icon-installment.png,20,22,19,40,56,65,4,65,0.00%,6.4,39.3
Order Selection,20,11083,12167,14419,14806,14809,6062,14809,0.00%,1.2,189.6
107 /escm/css/theme/images/ui-icons_222222_256x240.png,20,21,14,40,63,69,7,69,0.00%,6.4,29.2
108 /escm/images/BB-ajax-loader-round.gif,20,45,10,79,110,281,3,281,0.00%,6.4,53.2
109 /escm/order/searchOrder,20,924,805,1347,1453,1913,545,1913,0.00%,5.2,18.9
111 /escm/messages,20,81,47,141,277,295,16,295,0.00%,6.9,3.1
112 /escm/recentItem,20,60,47,101,101,171,11,171,0.00%,6.9,2.3
110 /escm/order/showOrderDetail,20,8593,8672,10613,10841,10969,3646,10969,0.00%,1.7,37.6
114 /escm/images/icon20.gif,20,11,7,23,25,28,3,28,0.00%,3.7,6.2
115 /escm/images/help.png,20,7,5,15,22,28,3,28,0.00%,3.7,25.1
113 /escm/images/trash.png,20,15,6,31,43,86,3,86,0.00%,3.7,34.7
117 /escm/messages,20,18,12,25,42,83,8,83,0.00%,3.8,1.7
116 /escm/css/theme/images/ui-icons_bbbbbb_256x240.png,20,15,5,15,23,151,3,151,0.00%,3.8,20.8
118 /escm/recentItem,20,21,18,39,47,56,7,56,0.00%,3.8,1.3
120 /escm/images/order-icon-usage.png,20,11,5,33,34,41,2,41,0.00%,3.8,16.7
119 /escm/images/order-icon-stop-billing.png,20,18,6,36,90,98,3,98,0.00%,3.8,16.7
Order_Search,20,9845,9769,11974,12281,12505,4974,12505,0.00%,1.5,111.6
TOTAL,2280,502,17,276,3996,10359,1,14809,1.75%,56.1,1029.5
