Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
50 /escm/css/modern_ui/images/myCatalog.png,21,16,14,29,40,65,3,65,0.00%,2.6,8.3
55 /escm/css/modern_ui/images/dropDown.png,21,24,12,43,96,133,4,133,0.00%,2.6,14.8
56 /escm/images/_loading.gif,21,13,10,23,24,48,5,48,0.00%,2.6,11.3
54 /escm/css/modern_ui/images/CP_login.png,21,39,11,55,75,498,3,498,0.00%,2.6,16.3
57 /escm/images/bubble.png,21,23,13,60,73,104,4,104,0.00%,2.6,9.6
58 /escm/css/theme/images/ui-icons_ededed_256x240.png,21,14,11,26,31,45,5,45,0.00%,2.6,11.7
59 /escm/css/theme/images/ui-icons_ffffff_256x240.png,21,13,11,30,34,44,3,44,0.00%,2.6,11.7
Login Page Credentials and Dashboard Display,21,8176,7950,10894,11300,12735,4621,12735,0.00%,.7,222.9
77 /escm/order/index,21,6112,5957,7430,7605,8950,4258,8950,0.00%,1.5,28.7
79 /escm/images/icon14.gif,21,25,13,55,62,106,3,106,0.00%,2.5,1.4
81 /escm/images/recent.png,21,19,17,24,70,97,3,97,0.00%,2.5,5.0
83 /escm/images/hourglass.png,21,22,17,56,70,82,3,82,0.00%,2.5,5.6
80 /escm/images/loading.gif,21,24,5,79,90,160,2,160,0.00%,2.5,2.5
87 /escm/images/ticket/order_ticket.png,21,32,9,81,99,296,3,296,0.00%,2.5,10.0
84 /escm/images/express_order.png,21,14,9,24,40,77,3,77,0.00%,2.5,3.3
85 /escm/images/cancelicon.png,21,12,7,28,31,60,3,60,0.00%,2.5,4.1
82 /escm/images/orderstatusicon/provisioningfailed.png,21,18,14,46,53,62,3,62,0.00%,2.5,3.8
86 /escm/images/bb_ajax_loader.gif,21,17,12,44,54,56,3,56,0.00%,2.4,7.6
89 /escm/images/previous.png,21,30,7,94,110,196,3,196,0.00%,2.5,40.7
90 /escm/images/next.png,21,18,10,35,66,87,3,87,0.00%,2.5,40.5
91 /escm/images/view_mail.png,21,19,14,45,46,76,3,76,0.00%,2.5,47.5
92 /escm/css/theme/images/ui-icons_blue_256x240.png,21,9,7,18,20,21,3,21,0.00%,2.5,11.7
88 /escm/order/showOrderDetail,21,1502,1373,2258,2285,2462,788,2462,0.00%,2.2,44.0
94 /escm/images/warn.png,21,26,14,36,74,174,3,174,0.00%,2.8,4.2
93 /escm/images/summary_edit_pencil.png,21,23,22,44,53,80,4,80,0.00%,2.8,25.7
95 /escm/images/order-icon-email.png,21,33,11,83,94,144,4,144,0.00%,2.8,12.7
96 /escm/images/slider-arrow-left.png,21,22,12,44,48,120,4,120,0.00%,2.8,3.7
97 /escm/images/slider-arrow-right.png,21,17,9,33,57,72,3,72,0.00%,2.8,3.7
98 /escm/messages,21,29,23,59,67,85,11,85,0.00%,2.8,1.3
99 /escm/recentItem,21,27,19,43,43,117,8,117,0.00%,2.8,.9
103 /escm/images/order-icon-provisioned.png,21,19,9,31,83,105,4,105,0.00%,2.8,13.4
