Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
1 /escm/login/auth,5,241,120,294,584,584,102,584,0.00%,1.4,7.4
4 /escmnull/css/merchant.css,5,5,3,9,9,9,2,9,100.00%,1.7,.2
5 /escm/css/logintypedialog.css,5,11,8,17,19,19,7,19,0.00%,1.7,2.2
3 /escm/css/theme/jquery-ui-1.8.17.custom.css,5,23,26,27,38,38,14,38,0.00%,1.7,11.3
9 /escm/css/jquery.ui.timepicker.css,5,10,10,12,15,15,8,15,0.00%,1.8,3.6
2 /escm/css/merchant.css,5,103,102,111,116,116,90,116,0.00%,1.7,106.4
6 /escm/css/jquery.alerts.css,5,9,10,11,11,11,7,11,0.00%,1.8,2.1
10 /escm/js/validator.js,5,14,16,16,16,16,13,16,0.00%,1.8,9.1
7 /escm/js/jquery-1.5.2.min.js,5,108,106,115,121,121,96,121,0.00%,1.7,108.9
8 /escm/js/jquery-ui-1.8.17.custom.min.js,5,84,88,92,103,103,68,103,0.00%,1.7,90.4
12 /escm/js/jquery.bpopup.min.js,5,10,11,11,12,12,10,12,0.00%,1.8,4.0
11 /escm/js/jquery.alerts.js,5,11,11,12,17,17,9,17,0.00%,1.8,4.5
13 /escm/css/modern_ui/images/footer.png,5,8,7,8,13,13,7,13,0.00%,1.8,5.7
15 /escm/images/add.jpg,5,7,7,7,12,12,5,12,0.00%,1.8,50.4
14 /escm/images/logo.png,5,8,8,8,10,10,7,10,0.00%,1.8,14.2
LoginPageRequest,5,659,524,763,1052,1052,474,1052,100.00%,1.1,265.7
16 /escm/login/doAuth?id=loginform,5,79792,78330,81069,82992,82992,78274,82992,0.00%,.1,.8
23 /escm/js/usageGraphJS/jqplot.canvasAxisLabelRenderer.min.js,5,38,37,43,97,97,7,97,0.00%,1.1,1.3
22 /escm/css/modern_ui/jquery.multiselect.css,5,22,9,45,45,45,6,45,0.00%,1.1,2.3
21 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,5,13,15,16,21,21,7,21,0.00%,1.1,1.4
29 /escm/css/modern_ui/js/jquery.blockUI.js,5,19,20,24,31,31,10,31,0.00%,1.1,6.5
25 /escm/css/modern_ui/jquery.alerts.css,5,15,19,20,22,22,6,22,0.00%,1.1,1.3
27 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,5,13,11,16,24,24,6,24,0.00%,1.1,2.0
26 /escm/css/modern_ui/js/jquery.tablesorter.js,5,26,26,28,48,48,13,48,0.00%,1.1,9.3
24 /escm/css/modern_ui/tablesorter.css,5,13,10,18,24,24,6,24,0.00%,1.1,2.5
58 /escm/js/jquery.scrollToTop.min.js,5,16,12,15,42,42,5,42,0.00%,1.1,.8
51 /escm/js/usageGraphJS/jqplot.highlighter.min.js,5,19,13,17,51,51,7,51,0.00%,1.1,2.7
48 /escm/css/payment/jquery.tzCheckbox.css,5,18,12,24,40,40,7,40,0.00%,1.1,1.2
44 /escm/css/modern_ui/js/validator.js,5,16,16,18,31,31,9,31,0.00%,1.1,5.1
59 /escm/js/payment/jquery.tzCheckbox.js,5,24,16,35,60,60,5,60,0.00%,1.1,1.8
31 /escm/css/modern_ui/theme/jquery-ui-1.8.17.custom.css,5,23,16,22,54,54,12,54,0.00%,1.1,7.2
60 /escm/js/panels.js,5,23,25,36,43,43,7,43,0.00%,1.1,2.4
36 /escm/css/modern_ui/js/jquery.multiselect.min.js,5,54,12,18,227,227,8,227,0.00%,1.1,4.4
34 /escm/js/usageGraphJS/jqplot.canvasAxisTickRenderer.min.js,5,15,17,20,27,27,7,27,0.00%,1.1,1.6
39 /escm/js/placeholders.min.js,5,17,15,23,35,35,6,35,0.00%,1.1,2.2
38 /escm/js/usageGraphJS/excanvas.min.js,5,20,20,22,24,24,15,24,0.00%,1.1,9.1
57 /escm/js/escm_alert.js,5,104,13,206,284,284,8,284,0.00%,1.1,2.4
45 /escm/css/modern_ui/js/clearinput.js,5,14,14,21,21,21,7,21,0.00%,1.2,1.4
46 /escm/css/modern_ui/js/jquery-validate/jquery.metadata.js,5,39,15,31,131,131,6,131,0.00%,1.2,2.3
37 /escm/css/modern_ui/js/jquery.bpopup.min.js,5,18,14,28,33,33,8,33,0.00%,1.2,2.7
33 /escm/css/modern_ui/js/slideBlock.js,5,34,17,24,116,116,6,116,0.00%,1.2,1.4
54 /escm/js/usageGraphJS/jqplot.cursor.min.js,5,32,38,47,53,53,11,53,0.00%,1.2,6.8
42 /escm/css/modern_ui/js/jquery.alerts.js,5,15,18,18,21,21,9,21,0.00%,1.2,3.1
41 /escm/css/modern_ui/js/datatable.js,5,13,7,22,25,25,5,25,0.00%,1.2,1.9
28 /escm/css/modern_ui/js/jquery.qtip-1.0.0-rc3.min.js,5,56,40,80,136,136,13,136,0.00%,1.2,12.0
35 /escm/css/modern_ui/usageGraph/examples.css,5,13,10,21,23,23,7,23,0.00%,1.2,1.9
47 /escm/css/modern_ui/js/main.js,5,14,17,20,22,22,7,22,0.00%,1.2,3.6
30 /escm/css/modern_ui/js/jquery-ui-1.8.17.custom.min.js,5,79,82,84,117,117,53,117,0.00%,1.2,64.5
53 /escm/js/usageGraphJS/jqplot.canvasTextRenderer.min.js,5,23,30,32,32,32,9,32,0.00%,1.2,5.0
55 /escm/js/usageGraphJS/jqplot.pointLabels.min.js,5,16,14,17,33,33,8,33,0.00%,1.3,2.5
49 /escm/js/usageGraphJS/jquery.jqplot.min.js,5,70,73,74,111,111,39,111,0.00%,1.3,53.7
40 /escm/js/usageGraphJS/jqplot.dateAxisRenderer.min.js,5,22,22,36,38,38,8,38,0.00%,1.3,4.0
52 /escm/js/usageGraphJS/jqplot.enhancedLegendRenderer.min.js,5,11,12,15,16,16,7,16,0.00%,1.3,2.6
43 /escm/css/modern_ui/js/jquery-validate/jquery.validate.min.js,5,40,17,51,112,112,10,112,0.00%,1.3,8.7
32 /escm/css/modern_ui/js/jquery-validate/additional-methods.min.js,5,25,10,18,85,85,7,85,0.00%,1.3,3.5
20 /escm/css/modern_ui/organization.css,5,103,117,135,143,143,61,143,0.00%,1.3,68.2
71 /escm/css/modern_ui/images/shoppingCart.png,5,7,6,9,10,10,5,10,0.00%,1.4,1.9
68 /escm/images/info12.png,5,11,7,9,32,32,5,32,0.00%,1.4,7.9
69 /escm/css/modern_ui/images/dropDown.png,5,11,8,16,23,23,5,23,0.00%,1.4,8.0
70 /escm/css/modern_ui/images/exchange_server.jpg,5,9,8,8,19,19,5,19,0.00%,1.4,20.2
67 /escm/css/modern_ui/images/search.png,5,16,19,24,28,28,5,28,0.00%,1.4,5.2
66 /escm/css/modern_ui/images/CP_login.png,5,15,8,10,49,49,5,49,0.00%,1.4,8.9
63 /escm/css/modern_ui/images/logo.png,5,7,7,8,9,9,5,9,0.00%,1.4,11.2
65 /escm/css/modern_ui/images/myAccount.png,5,11,7,14,27,27,5,27,0.00%,1.4,18.2
64 /escm/css/modern_ui/images/myDashboard.png,5,11,12,14,16,16,6,16,0.00%,1.4,4.5
61 /escm/images/ticket/39x39ticket.png,5,21,21,32,39,39,5,39,0.00%,1.4,3.8
62 /escm/css/modern_ui/images/myCatalog.png,5,6,7,8,8,8,5,8,0.00%,1.4,4.7
50 /escm/css/modern_ui/js/jquery-1.5.2.min.js,5,141,131,148,285,285,69,285,0.00%,1.4,90.6
56 /escm/js/payment/jquery.dataTables.js,5,133,112,163,207,207,87,207,0.00%,1.4,126.0
LoginPagewithDahboard,5,81356,80503,81843,83648,83648,80319,83648,0.00%,.1,28.9
TOTAL,350,2343,15,115,284,81069,2,83648,2.86%,4.0,82.9
