Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
62 /escm/login/auth,22,80,61,139,212,229,44,229,0.00%,1.0,5.3
67 /escm/css/jquery.alerts.css,22,8,6,11,15,29,5,29,0.00%,1.0,1.3
63 /escm/css/theme/jquery-ui-1.8.17.custom.css,22,13,13,16,17,23,10,23,0.00%,1.0,6.8
68 /escmnull/css/merchant.css,22,2,2,2,3,4,1,4,100.00%,1.0,.1
72 /escm/js/validator.js,22,11,11,15,16,19,7,19,0.00%,1.0,5.4
71 /escm/js/jquery.alerts.js,22,7,6,10,10,13,5,13,0.00%,1.0,2.6
70 /escm/js/jquery-ui-1.8.17.custom.min.js,22,62,58,79,79,80,48,80,0.00%,1.0,54.5
73 /escm/js/jquery.bpopup.min.js,22,8,7,15,16,16,5,16,0.00%,1.0,2.3
66 /escm/css/jquery.ui.timepicker.css,22,5,4,8,9,16,3,16,0.00%,1.0,2.1
69 /escm/js/jquery-1.5.2.min.js,22,88,83,106,121,123,75,123,0.00%,1.0,66.5
64 /escm/css/merchant.css,22,90,84,108,137,165,66,165,0.00%,1.0,65.5
65 /escm/css/logintypedialog.css,22,7,6,12,13,15,5,15,0.00%,1.1,1.3
74 /escm/css/fonts/Roboto-Light.woff,22,6,6,9,9,11,4,11,0.00%,1.1,75.8
75 /escm/css/fonts/Roboto-Bold.woff,22,5,5,9,9,10,4,10,0.00%,1.1,73.7
76 /escm/css/fonts/Roboto-Regular.ttf,22,6,6,8,8,12,5,12,0.00%,1.1,149.5
Login Page Request,22,403,376,491,600,629,325,629,100.00%,1.0,499.2
5 /escm/login/doAuth?id=loginform,22,6757,6464,9376,9742,10699,3,10699,9.09%,2.1,18.8
10 /escm/css/modern_ui/usageGraph/examples.css,22,50,26,94,96,291,5,291,0.00%,2.0,3.2
11 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,22,53,23,126,161,269,9,269,0.00%,2.0,3.7
14 /escm/css/modern_ui/jquery.multiselect.css,22,38,23,79,131,144,5,144,0.00%,2.1,4.5
15 /escm/js/jquery.qtip-1.0.0-rc3.min.js,22,47,38,77,137,142,14,142,0.00%,2.0,20.0
23 /escm/js/jquery-validate/jquery.metadata.js,22,34,19,65,124,174,7,174,0.00%,2.0,3.9
9 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,22,30,28,49,55,60,6,60,0.00%,2.0,2.6
22 /escm/js/slideBlock.js,22,28,21,53,59,59,7,59,0.00%,2.0,2.3
21 /escm/js/clearinput.js,22,35,27,70,72,161,5,161,0.00%,2.0,2.4
13 /escm/css/tablesorter.css,22,33,16,74,105,159,4,159,0.00%,2.0,4.5
24 /escm/js/datatable.js,22,35,18,92,127,141,4,141,0.00%,2.0,3.1
38 /escm/js/jquery.leanModal.min.js,22,32,21,80,90,100,4,100,0.00%,2.0,2.6
40 /escm/js/escm_alert.js,22,28,21,38,97,124,6,124,0.00%,2.0,4.1
25 /escm/js/jquery.ba-dotimeout.min.js,22,24,14,58,70,75,4,75,0.00%,2.0,2.7
18 /escm/js/main.js,22,21,14,38,43,75,7,75,0.00%,2.0,5.7
19 /escm/js/jquery-validate/additional-methods.min.js,22,35,16,69,189,194,6,194,0.00%,1.9,5.2
46 /escm/js/payment/jquery.tzCheckbox.js,22,23,14,33,40,105,4,105,0.00%,1.9,3.1
12 /escm/css/payment/jquery.tzCheckbox.css,22,32,17,64,113,200,6,200,0.00%,1.9,2.1
31 /escm/js/usageGraphJS/jqplot.canvasTextRenderer.min.js,22,52,22,100,196,338,12,338,0.00%,1.8,7.4
41 /escm/js/jquery.flexslider.js,22,53,47,85,89,93,16,93,0.00%,1.8,22.1
33 /escm/js/usageGraphJS/excanvas.min.js,22,59,28,89,116,514,10,514,0.00%,1.9,14.8
