"(PDH-CSV 4.0) (India Standard Time)(-330)","\\EASDB01\Processor(_Total)\% Processor Time","\\EASDB01\System\Processor Queue Length"
"02/22/2017 10:26:26.655","6.6306825105387102","2"
"02/22/2017 10:26:29.665","6.1508780908952065","0"
"02/22/2017 10:26:32.678","8.1532125125014296","0"
"02/22/2017 10:26:35.693","7.050208389104073","0"
"02/22/2017 10:26:38.701","9.2780117125623285","1"
"02/22/2017 10:26:41.704","4.9782848179672268","0"
"02/22/2017 10:26:44.706","6.3777459834957746","0"
"02/22/2017 10:26:47.710","6.3160884935432593","0"
"02/22/2017 10:26:50.725","5.6676657684072262","1"
"02/22/2017 10:26:53.735","6.5039144433972069","6"
"02/22/2017 10:26:56.744","9.1238779094192974","0"
"02/22/2017 10:26:59.758","6.3526730378019591","1"
"02/22/2017 10:27:02.759","6.2327148565136774","0"
"02/22/2017 10:27:05.772","6.9212723756490568","1"
"02/22/2017 10:27:08.786","6.797103223945955","0"
"02/22/2017 10:27:11.793","8.2129054769055525","0"
"02/22/2017 10:27:14.806","6.8540378153993604","0"
"02/22/2017 10:27:17.816","6.1170552113408716","0"
"02/22/2017 10:27:20.831","6.2035111435618129","1"
"02/22/2017 10:27:23.838","8.215060666849606","0"
"02/22/2017 10:27:26.843","7.2597986641676044","3"
"02/22/2017 10:27:29.856","5.9913895434896558","0"
"02/22/2017 10:27:32.857","6.6914174154062973","1"
"02/22/2017 10:27:35.860","4.7198714142142162","3"
"02/22/2017 10:27:38.871","4.4893303619050418","0"
"02/22/2017 10:27:41.884","5.7670142451278767","0"
"02/22/2017 10:27:44.890","11.249984781256261","0"
"02/22/2017 10:27:47.897","14.239991771696236","0"
"02/22/2017 10:27:50.902","9.7273035706038176","0"
"02/22/2017 10:27:53.910","12.418373978810472","1"
"02/22/2017 10:27:56.916","9.4104815625554181","0"
"02/22/2017 10:27:59.922","12.345963435333896","0"
