Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
69 /escm/css/modern_ui/images/dropDown.png,10,19,8,54,54,92,4,92,0.00%,1.1,6.5
70 /escm/css/modern_ui/images/exchange_server.jpg,10,20,6,39,39,93,4,93,0.00%,1.1,16.5
67 /escm/css/modern_ui/images/search.png,10,24,13,43,43,104,4,104,0.00%,1.1,4.2
66 /escm/css/modern_ui/images/CP_login.png,10,10,6,18,18,25,4,25,0.00%,1.1,7.2
63 /escm/css/modern_ui/images/logo.png,10,13,7,29,29,46,4,46,0.00%,1.1,9.0
65 /escm/css/modern_ui/images/myAccount.png,10,29,6,100,100,142,4,142,0.00%,1.1,14.6
64 /escm/css/modern_ui/images/myDashboard.png,10,18,8,34,34,91,4,91,0.00%,1.2,3.6
61 /escm/images/ticket/39x39ticket.png,10,54,7,27,27,463,5,463,0.00%,1.2,3.1
62 /escm/css/modern_ui/images/myCatalog.png,10,16,9,30,30,62,4,62,0.00%,1.2,4.0
50 /escm/css/modern_ui/js/jquery-1.5.2.min.js,10,99,68,169,169,208,63,208,0.00%,1.2,78.0
56 /escm/js/payment/jquery.dataTables.js,10,163,103,152,152,661,88,661,0.00%,1.2,107.3
LoginPagewithDahboard,10,154593,153873,156646,156646,159962,151972,159962,0.00%,.1,30.0
TOTAL,700,4451,13,117,452,154287,2,159962,2.86%,4.1,86.3
